"model_id","city","activity","basis_fun","knots","boundary_knots","intercept","lag_effect_days"
"Boston__walk","Boston","walk","ns","10.025000000000002;15.884000000000004","0.000000000000000;16.039999999999999","FALSE","12"
"Cape_Coral__walk","Cape_Coral","walk","ns","2.6850000000000023;7.7324000000000126","0.000000000000000;12.555999999999996","FALSE","12"
"Chandler__walk","Chandler","walk","ns","4.919999999999991;12.434125000000044","0.000000000000000;32.745000000000019","FALSE","12"
"Charleston__walk","Charleston","walk","ns","3.7085000000000008;11.1152499999999890","0.000000000000000;21.274999999999999","FALSE","8"
"Charlotte__walk","Charlotte","walk","ns","5.8200000000000038;14.3070000000000022","0.000000000000000;21.749999999999993","FALSE","12"
"Chicago__walk","Chicago","walk","ns","6.5780000000000154;21.7849000000000075","0.000000000000000;28.323250000000002","FALSE","12"
"Cincinnati__walk","Cincinnati","walk","ns","7.8290000000000006;16.4600000000000009","0.000000000000000;20.539999999999999","FALSE","12"
"Clearwater__walk","Clearwater","walk","ns","1.9644999999999977;6.7712999999999983","0.000000000000000;14.909999999999989","FALSE","12"
"Cleveland__walk","Cleveland","walk","ns","7.9145000000000092;13.1660000000000039","0.000000000000000;15.669999999999998","FALSE","8"
"Columbia__walk","Columbia","walk","ns","5.1600000000000108;15.2799999999999958","0.000000000000000;40.115000000000009","FALSE","8"
"Columbus__walk","Columbus","walk","ns","10.274500000000000;16.135000000000009","0.000000000000000;17.945000000000004","FALSE","12"
"Corpus_Christi__walk","Corpus_Christi","walk","ns","2.2137500000000045;9.3779000000000092","0.00000000000000;24.23225000000004","FALSE","12"
"Dallas__walk","Dallas","walk","ns","9.9749999999999979;47.4075000000000131","0.00000000000000;175.71999999999997","FALSE","12"
"Detroit__walk","Detroit","walk","ns","6.4282499999999985;17.3454000000000015","0.000000000000000;25.388750000000002","FALSE","12"
"Fort_Worth__walk","Fort_Worth","walk","ns","8.0849999999999973;40.6500000000000057","0.000000000000000;75.204000000000065","FALSE","12"
"Fresno__walk","Fresno","walk","ns","9.4511250000000224;26.6549999999999905","0.000000000000000;63.940500000000029","FALSE","12"
"Gilbert__walk","Gilbert","walk","ns","4.9049999999999905;12.2045000000000101","0.000000000000000;31.205000000000027","FALSE","12"
"Henderson__walk","Henderson","walk","ns","6.042500000000004;18.694499999999984","0.000000000000000;40.223000000000035","FALSE","12"
"Houston__walk","Houston","walk","ns","5.3412500000000076;30.3425000000000082","0.00000000000000;66.23899999999999","FALSE","12"
"Indianapolis__walk","Indianapolis","walk","ns","9.4450000000000003;23.1534000000000368","0.000000000000000;26.113749999999996","FALSE","12"
"Jacksonville__walk","Jacksonville","walk","ns","3.0899999999999999;11.8799999999999919","0.000000000000000;20.049999999999983","FALSE","12"
"Kansas_City__walk","Kansas_City","walk","ns","5.7070000000000096;21.2890000000000512","0.000000000000000;44.030000000000136","FALSE","8"
"Las_Vegas__walk","Las_Vegas","walk","ns","5.5300000000000047;15.7237500000000008","0.000000000000000;35.848750000000074","FALSE","12"
"Los_Angeles__walk","Los_Angeles","walk","ns","9.0715000000000039;14.7992500000000078","0.00000000000000;28.61999999999999","FALSE","12"
